Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
417,Centre Moral i Instructiu de Gràcia,Ateneus,NO,,,1,06,Gràcia,31,la Vila de Gràcia,Titularitat privada,Centre Moral Instructiu de Gràcia,,41.4010837,2.15471320000006
418,Centre Sant Pere 1892,Ateneus,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Centre Sant Pere Apòstol,,41.3881272,2.1762837999999647
461,Centre d'Imatgeria Festiva de Sant Martí - Can Sal,Cases de la Festa,NO,,,1,10,Sant Martí,68,el Poblenou,Ajuntament de Barcelona,Assoc. de la Imatgeria Festiva del Poblenou,,41.40157412252128,2.2045472261774126
57,Centre de Cultura Contemporània de Barcelona. CCCB,Centres d'exposicions,NO,,,1,01,Ciutat Vella,01,el Raval,Consorci o fundació amb presència administracions públiques,Centre de Cultura Contemporània de Barcelona (CCCB),,41.383883057,2.166795152
460,Centre de Cultura Popular de Sant Andreu,Cases de la Festa,NO,,,1,09,Sant Andreu,60,Sant Andreu,Ajuntament de Barcelona,Ajuntament de Barcelona,,41.440796263112944,2.1877800550148336
250,Centre de Doc. i Museu de les Arts Escèniques,Arxius i biblioteques patrimonials,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Altres administracions públiques,Diputació de Barcelona,,41.370647908,2.157431333
419,Cercle Catòlic de Gràcia,Ateneus,NO,,,1,06,Gràcia,31,la Vila de Gràcia,Titularitat privada,Cercle Catòlic de Gràcia,,41.4037318,2.152953000000025
342,Cine Yelmo Westfield La Maquinista,Cinemes,NO,,,1,09,Sant Andreu,59,el Bon Pastor,Titularitat privada,Cinesa Compañía de Iniciativas y Espectáculos,,41.442744917,2.200222125
339,Cinema Maldà,Cinemes,NO,,,1,01,Ciutat Vella,02,el Barri Gòtic,Titularitat privada,Mònica Escrivà i Pedrol,,41.383570271,2.17314987
340,Cinemes Girona,Cinemes,NO,,,1,02,Eixample,07,la Dreta de l'Eixample,Titularitat privada,Cinemes Girona,,41.399596039,2.164612168
343,Cinesa Diagonal,Cinemes,NO,,,1,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Titularitat privada,Cinesa Compañía de Iniciativas y Espectáculos,,41.39426894,2.137358643
344,Cinesa Diagonal Mar,Cinemes,NO,,,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Titularitat privada,Cinesa Compañía de Iniciativas y Espectáculos,,41.4109744,2.218580826
471,Cinesa Som Multiespai,Cinemes,NO,,,1,08,Nou Barris,45,Porta,Titularitat privada,Cinesa Compañía de Iniciativas y Espectáculos,,41.43544,2.18078
123,Coliseum,Sales d'arts escèniques,NO,,,1,02,Eixample,07,la Dreta de l'Eixample,Titularitat privada,Edificios y Espectáculos. Grup Balañá,,41.388275,2.166088
