Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Audiovisuals,Titularitat privada,Festivals,13,Cinema Lliure a la Platja. Mostra de cinema independent,18/07/2024,08/08/2024,15750,13050,Platja de Sant Sebastià,Mago Audiovisual Production,
2024,Música,Ajuntament de Barcelona,Festivals,16,Guineueta Lliure i Tropical,21/07/2024,21/07/2024,145,,Pl de Ca n'Ensenya,Casal de Joves Guineueta,
2024,Arts escèniques,Ajuntament de Barcelona,Festivals,,Festivalet Sant Martí de circ,26/07/2024,28/07/2024,,,,Pla de Barris. Ajuntament de Barcelona,
2024,Música,Titularitat privada,Festivals,11,Nits de Blues,31/07/2024,28/08/2024,2645,,Poble Espanyol,Poble Espanyol de Montjuïc,
2024,Música,Titularitat privada,Festivals,11,Mahou Rock&Grill,01/08/2024,31/08/2024,4339,,Poble Espanyol,Poble Espanyol de Montjuïc,
2024,Música,Titularitat privada,Festivals,1,The 90s Queens Nights,02/08/2024,30/08/2024,2374,,Poble Espanyol,,
2024,Música,Titularitat privada,Festivals,4,Fritanga!,04/08/2024,01/09/2024,2278,,Poble Espanyol,Poble Espanyol de Montjuïc,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,2,Brunch-in the City,09/08/2024,11/08/2024,60200,,Parc del Fòrum i Nobu Barcelona,Centris Events,
2024,Música,Titularitat privada,Festivals,15,Festigàbal,16/08/2024,17/08/2024,,,La Sedeta,Heliogàbal,
2024,Música,Titularitat privada,Festivals,11,Jazzing Festival,28/08/2024,01/09/2024,,,Fabra i Coats Fàbrica de creació,Assoc. Sant Andreu Jazz Band,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,,HOP Festival. Festival de Danses Urbanes,13/09/2024,14/12/2024,,,,El Generador Art i Creació Cultural,
2024,Música,Titularitat privada,Festivals,34,Festival l'Hora del Jazz. Memorial Tete Montoliu,15/09/2024,29/09/2024,1800,1200,Plaça de la Vila de Gràcia,Assoc. de Músics de Jazz i Música Moderna de Catalunya (AMJM),
2024,Arts visuals,Titularitat privada,Festivals,10,Barcelona Gallery Weekend,19/09/2024,28/09/2024,12500,1500,Diversos espais de la ciutat,Art Barcelona Associació de galeries,
2024,Música,Ajuntament de Barcelona,Festivals,32,BAM. Barcelona Acció Musical,20/09/2024,24/09/2024,66557,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Lletres,Titularitat privada,Fires,73,Fira del Llibre d'Ocasió Antic i Modern,20/09/2024,06/10/2024,,,Passeig de Gràcia,Gremi de Llibreters de Vell de Catalunya,
